iter	RMSE
0	19.59693891
1	18.37849958
2	17.22281846
3	16.17518205
4	15.18173165
5	14.26759872
6	13.43756617
7	12.65390492
8	11.93232899
9	11.27014237
10	10.65117097
11	10.06626855
12	9.543467979
13	9.05545323
14	8.599677776
15	8.184461183
16	7.809832161
17	7.478431074
18	7.157694216
19	6.871791191
20	6.611520328
21	6.372524307
22	6.156954326
23	5.953199343
24	5.768537541
25	5.600021218
26	5.453326692
27	5.312316502
28	5.186873281
29	5.07747056
30	4.979625596
31	4.873626042
32	4.775845185
33	4.695489193
34	4.619272321
35	4.555890192
36	4.501006773
37	4.452825512
38	4.401309114
39	4.35578901
40	4.317900837
41	4.284357233
42	4.252755433
43	4.220237252
44	4.190821598
45	4.168995672
46	4.14665624
47	4.123955109
48	4.103159948
49	4.08461941
50	4.068419552
51	4.050872912
52	4.034598877
53	4.023770339
54	4.010647334
55	3.991663843
56	3.979676545
57	3.970044875
58	3.959373963
59	3.946193997
60	3.933385965
61	3.924831804
62	3.916627921
63	3.911130609
64	3.898727841
65	3.890478423
66	3.881230007
67	3.874982056
68	3.868500069
69	3.861331857
70	3.855859708
71	3.848995197
72	3.839995357
73	3.835997756
74	3.832574177
75	3.825813312
76	3.821938776
77	3.815525897
78	3.808784822
79	3.803946082
80	3.799656495
81	3.795153225
82	3.790800894
83	3.786865988
84	3.783638808
85	3.778800019
86	3.77485234
87	3.772530938
88	3.768459654
89	3.763435023
90	3.756259595
91	3.750834173
92	3.747589616
93	3.743624266
94	3.73951322
95	3.732984811
96	3.724796435
97	3.721109591
98	3.717242906
99	3.711683155
100	3.70679212
101	3.702428834
102	3.697551574
103	3.694455942
104	3.690333376
105	3.688530685
106	3.682259991
107	3.677991906
108	3.674028656
109	3.671838437
110	3.669187737
111	3.665480002
112	3.663273907
113	3.660010337
114	3.657549774
115	3.655377927
116	3.654413836
117	3.649565344
118	3.647406159
119	3.645567106
120	3.643199896
121	3.64070519
122	3.637629798
123	3.635120903
124	3.631840352
125	3.629257766
126	3.626245197
127	3.623078531
128	3.62050853
129	3.614214589
130	3.610746153
131	3.608765575
132	3.605876377
133	3.603948173
134	3.603255072
135	3.600237024
136	3.59802016
137	3.594124814
138	3.592300626
139	3.590425396
140	3.5878448
141	3.584719646
142	3.583406726
143	3.580891912
144	3.577880884
145	3.576591559
146	3.573863674
147	3.570760323
148	3.569236786
149	3.567414346
150	3.565164156
151	3.563491382
152	3.561176034
153	3.55772331
154	3.554333
155	3.551776389
156	3.549950721
157	3.548373915
158	3.545015065
159	3.541892459
160	3.539390462
161	3.537929722
162	3.534767427
163	3.533054788
164	3.531031936
165	3.528309329
166	3.526322152
167	3.524446825
168	3.521049713
169	3.518646555
170	3.516047793
171	3.513530925
172	3.512070654
173	3.509717985
174	3.506785974
175	3.504804065
176	3.50312104
177	3.500392641
178	3.498524509
179	3.496818812
180	3.494949049
181	3.493949109
182	3.491754007
183	3.490287625
184	3.488520695
185	3.48678944
186	3.485026969
187	3.483078023
188	3.480549477
189	3.478747015
190	3.476910079
191	3.474917254
192	3.472248849
193	3.470435826
194	3.469082653
195	3.468135079
196	3.466222197
197	3.464567513
198	3.462560897
199	3.459938853
200	3.457097984
201	3.455769702
202	3.453636857
203	3.451995948
204	3.449434503
205	3.447365619
206	3.444966959
207	3.444040153
208	3.442846598
209	3.441683694
210	3.439857034
