iter	Passed	Remaining
0	6	6312
1	22	11337
2	35	11923
3	50	12650
4	66	13152
5	76	12669
6	86	12287
7	95	11850
8	106	11778
9	114	11287
10	123	11145
11	130	10767
12	139	10604
13	146	10327
14	155	10191
15	161	9954
16	169	9820
17	177	9689
18	185	9551
19	191	9406
20	198	9275
21	206	9176
22	213	9073
23	221	8989
24	228	8904
25	235	8813
26	242	8746
27	250	8678
28	258	8641
29	264	8567
30	272	8504
31	279	8454
32	286	8405
33	294	8357
34	301	8324
35	310	8323
36	318	8278
37	325	8236
38	332	8196
39	340	8173
40	349	8170
41	356	8131
42	365	8126
43	375	8148
44	382	8115
45	393	8170
46	399	8106
47	405	8049
48	411	7994
49	417	7940
50	423	7881
51	429	7838
52	436	7802
53	443	7769
54	450	7736
55	457	7716
56	464	7684
57	471	7650
58	478	7634
59	485	7607
60	491	7573
61	499	7551
62	506	7527
63	513	7503
64	520	7482
65	526	7456
66	534	7446
67	542	7438
68	549	7408
69	557	7407
70	564	7386
71	571	7369
72	579	7352
73	585	7327
74	592	7304
75	599	7283
76	605	7258
77	612	7241
78	619	7227
79	627	7215
80	634	7193
81	640	7175
82	648	7160
83	655	7144
84	662	7128
85	668	7109
86	675	7093
87	683	7081
88	691	7077
89	698	7058
90	707	7067
91	714	7055
92	721	7040
93	728	7022
94	736	7019
95	744	7007
96	752	7007
97	758	6982
98	764	6959
99	770	6937
100	776	6915
101	782	6891
102	789	6874
103	796	6859
104	803	6846
105	809	6830
106	816	6817
107	824	6810
108	831	6796
109	837	6779
110	844	6764
111	852	6756
112	858	6740
113	865	6726
114	872	6712
115	878	6698
116	885	6681
117	892	6671
118	898	6653
119	905	6638
120	912	6625
121	919	6614
122	926	6604
123	932	6589
124	940	6580
125	947	6571
126	954	6560
127	963	6565
128	971	6562
129	979	6556
130	986	6543
131	993	6531
132	1000	6519
133	1006	6507
134	1013	6492
135	1020	6481
136	1026	6467
137	1034	6464
138	1041	6454
139	1048	6440
140	1055	6428
141	1061	6415
142	1068	6401
143	1074	6388
144	1081	6377
145	1087	6363
146	1094	6353
147	1102	6346
148	1109	6334
149	1115	6320
150	1123	6315
151	1130	6309
152	1137	6297
153	1143	6282
154	1149	6268
155	1155	6252
156	1161	6236
157	1167	6223
158	1174	6212
159	1181	6202
160	1188	6194
161	1195	6182
162	1202	6176
163	1209	6166
164	1216	6156
165	1222	6144
166	1229	6133
167	1237	6127
168	1244	6118
169	1250	6107
170	1257	6095
171	1264	6087
172	1271	6078
173	1278	6070
174	1285	6060
175	1292	6050
176	1298	6038
177	1306	6035
178	1317	6040
179	1325	6036
180	1333	6031
181	1340	6023
182	1347	6013
183	1353	6004
184	1360	5994
185	1370	5999
186	1377	5989
187	1384	5978
188	1391	5970
189	1398	5961
190	1405	5951
191	1411	5939
192	1418	5931
193	1425	5921
194	1431	5907
195	1436	5893
196	1442	5880
197	1448	5867
